Quote,Character,Anime
People’s lives don’t end when they die it ends when they lose faith.,Itachi Uchiha,Naruto
If you don’t take risks you can’t create a future!,Monkey D Luffy,One Piece
If you don’t like your destiny don’t accept it.,Naruto Uzumaki,Naruto
When you give up that’s when the game ends.,Mitsuyoshi Anzai,Slam Dunk
All we can do is live until the day we die. Control what we can…and fly free.,Deneil Young,Uchuu Kyoudai or Space Brothers
Forgetting is like a wound. The wound may heal but it has already left a scar.,Monkey D Luffy,One Piece
It’s just pathetic to give up on something before you even give it a shot.”,Reiko Mikami,Another
If you don’t share someone’s pain you can never understand them.,Nagato,Naruto
Whatever you lose you’ll find it again. But what you throw away you’ll never get back.,Himura Kenshin,Rurouni Kenshin
We don’t have to know what tomorrow holds! That’s why we can live for everything we’re worth today!”,Natsu Dragneel,Fairy Tail
Why should I apologize for being a monster? Has anyone ever apologized for turning me into one?,Juuzou Suzuya,Tokyo Ghoul
People become stronger because they have memories they can’t forget.,Tsunade,Naruto
I’ll leave tomorrow’s problems to tomorrow’s me.,Saitama,One Punch Man
If you wanna make people dream you’ve gotta start by believing in that dream yourself!,Seiya Kanie,Amagi Brilliant Park
